student_ID,course_ID
1,13
1,17
1,18
2,12
2,13
2,16
2,17
3,5
3,13
3,14
3,16
3,17
3,18
4,4
4,7
4,8
4,12
4,15
4,16
4,17
4,18
5,13
5,14
5,15
5,17
5,18
6,13
6,14
6,16
6,18
7,6
7,12
7,15
7,16
7,17
7,18
8,1
8,11
8,12
8,13
8,15
8,16
8,17
8,18
9,11
9,14
9,15
9,16
9,17
10,8
10,14
10,15
10,16
11,12
11,13
11,14
11,15
11,16
11,17
11,18
12,13
12,16
12,17
12,18
13,11
13,17
13,18
14,6
14,8
14,14
14,15
14,16
14,17
14,18
15,1
15,11
15,14
15,15
15,16
15,17
15,18
16,9
16,11
16,14
16,16
16,17
16,18
17,2
17,5
17,11
17,13
17,14
17,16
18,4
18,10
18,13
18,14
18,16
18,17
18,18
19,7
19,9
19,11
19,13
19,15
19,16
19,17
19,18
20,6
20,10
20,13
20,14
20,15
20,16
20,17
20,18
21,12
21,13
21,15
21,16
21,17
21,18
22,6
22,12
22,13
22,15
22,18
23,6
23,7
23,16
24,1
24,3
24,6
24,16
24,17
24,18
25,3
25,6
25,15
25,16
25,17
25,18
26,11
26,13
26,14
26,15
26,16
26,18
27,8
27,16
27,17
28,5
28,11
29,3
29,8
29,13
29,14
29,16
29,17
29,18
30,10
30,13
30,14
30,15
30,16
30,17
30,18
31,1
31,14
31,17
32,3
32,10
32,11
32,13
32,16
32,17
33,10
33,14
33,15
33,16
33,17
33,18
34,15
34,17
34,18
35,3
35,9
35,11
35,13
35,14
35,15
35,16
35,17
35,18
36,13
36,14
36,17
37,2
37,4
37,13
37,14
37,16
37,17
37,18
38,10
38,12
38,14
38,15
38,16
38,18
39,5
39,12
39,13
39,14
39,15
39,16
39,17
39,18
40,2
40,4
40,8
40,11
40,17
40,18
41,1
41,15
41,16
41,17
41,18
42,8
42,9
42,10
42,13
42,14
42,15
42,16
42,18
43,1
43,9
43,10
43,15
43,16
43,17
43,18
44,12
44,13
44,14
44,15
44,16
44,17
44,18
45,11
45,12
45,13
45,14
45,15
45,16
45,17
45,18
46,9
46,13
46,14
46,15
46,16
46,17
46,18
47,14
47,16
47,17
47,18
48,14
48,15
48,16
48,17
48,18
49,8
49,10
49,11
49,13
49,14
49,15
49,16
49,17
49,18
50,6
50,10
50,16
51,1
51,5
51,9
51,12
51,16
52,12
52,14
52,17
52,18
53,8
53,11
53,12
53,13
53,15
53,16
53,17
53,18
54,10
54,14
54,15
54,16
54,17
54,18
55,5
55,13
55,15
55,16
55,17
55,18
56,9
56,11
56,12
56,14
56,15
56,16
56,17
56,18
57,2
57,14
57,15
57,17
57,18
58,4
58,6
58,8
58,11
58,15
58,16
58,17
58,18
59,5
59,11
59,13
59,15
59,16
59,17
59,18
60,4
60,12
60,15
60,16
60,18
61,10
61,13
61,14
61,15
61,16
61,17
61,18
62,2
62,13
62,14
62,16
62,17
62,18
63,1
63,5
63,8
64,9
64,11
64,13
64,14
64,16
64,17
64,18
65,6
65,9
65,16
66,1
66,4
66,6
66,16
67,9
67,13
67,14
67,15
67,16
67,17
67,18
68,6
68,7
68,17
68,18
69,7
69,10
69,12
69,13
69,14
69,16
69,17
69,18
70,10
70,11
70,12
70,14
70,15
70,16
70,17
70,18
71,12
71,16
71,17
71,18
72,14
72,15
72,16
72,17
72,18
73,3
73,6
73,11
73,13
73,16
73,17
73,18
74,5
74,9
75,9
75,15
75,16
75,17
75,18
76,6
76,11
76,14
76,15
76,16
76,17
76,18
77,11
77,13
77,14
77,15
77,17
77,18
78,13
78,15
78,16
78,17
78,18
79,3
79,4
79,10
79,11
79,14
79,15
79,18
80,3
80,4
80,7
80,9
80,13
80,15
80,18
81,2
81,10
81,13
81,16
82,14
82,17
82,18
83,7
83,10
83,16
84,12
84,16
84,17
84,18
85,6
85,13
85,15
85,16
85,17
85,18
86,5
86,18
87,11
87,12
87,13
87,16
87,17
87,18
88,9
88,10
88,12
88,15
88,17
88,18
89,1
89,9
89,12
89,13
89,14
89,15
89,16
89,17
89,18
90,3
90,10
90,14
90,15
90,16
90,17
90,18
91,4
91,14
92,12
92,13
92,15
92,16
92,17
92,18
93,11
93,16
93,17
93,18
94,7
94,10
94,13
95,10
95,11
95,14
95,15
95,16
95,17
95,18
96,9
96,11
96,12
96,13
96,15
96,16
96,17
96,18
97,12
97,14
97,15
97,16
98,7
98,14
98,15
98,16
98,17
98,18
99,3
99,12
99,13
99,15
100,11
100,15
100,16
100,17
100,18
101,6
101,10
101,15
102,6
102,11
102,15
102,16
102,18
103,6
103,13
103,16
103,17
103,18
104,13
104,16
104,17
104,18
105,1
105,4
105,16
105,17
105,18
106,3
106,7
106,14
106,15
106,16
106,18
107,9
107,13
107,16
107,17
107,18
108,10
108,13
108,15
108,16
108,17
108,18
109,6
109,9
109,14
109,17
110,2
110,9
110,12
110,14
110,17
110,18
111,10
111,11
111,12
111,13
111,14
111,15
111,16
111,17
111,18
112,10
112,12
112,13
112,14
112,15
112,16
112,17
112,18
113,9
113,10
113,15
113,16
113,17
113,18
114,10
114,16
114,18
115,6
115,13
115,14
115,16
115,17
115,18
116,5
116,11
116,15
116,16
116,17
116,18
117,13
117,14
117,15
117,16
117,17
117,18
118,3
118,14
118,16
118,17
118,18
119,6
119,14
119,16
119,17
120,12
120,17
120,18
121,9
121,12
121,13
121,14
121,15
121,16
121,17
121,18
122,2
122,12
122,13
122,14
122,15
122,16
122,17
122,18
123,14
